Indicator,Year,Amount,Category
Trade Payables,2019,6292.0,Liabilities
Short Term Provisions,2019,239.0,Liabilities
Capital Work-In-Progress,2019,963.0,Other
Long Term Loans And Advances,2019,60.0,Borrowings
Inventories,2019,10.0,Other
Trade Receivables,2019,27346.0,Assets
Cash And Cash Equivalents,2019,12848.0,Assets
Short Term Loans And Advances,2019,8029.0,Borrowings
Bonus Equity Share Capital,2019,342.58,Equity
Equity Share Capital,2018,191.0,Equity
Total Share Capital,2018,191.0,Equity
Reserves and Surplus,2018,84937.0,Equity
Total Reserves and Surplus,2018,84937.0,Equity
Minority Interest,2018,402.0,Other
Long Term Borrowings,2018,54.0,Borrowings
Long Term Provisions,2018,26.0,Liabilities
Short Term Borrowings,2018,181.0,Borrowings
Trade Payables,2018,5094.0,Liabilities
Short Term Provisions,2018,240.0,Liabilities
Capital Work-In-Progress,2018,1278.0,Other
Long Term Loans And Advances,2018,1975.0,Borrowings
Inventories,2018,26.0,Other
Trade Receivables,2018,24943.0,Assets
Cash And Cash Equivalents,2018,7161.0,Assets
Short Term Loans And Advances,2018,3205.0,Borrowings
Bonus Equity Share Capital,2018,151.15,Equity
Equity Share Capital,2017,197.0,Equity
Total Share Capital,2017,197.0,Equity
Reserves and Surplus,2017,86017.0,Equity
Total Reserves and Surplus,2017,86017.0,Equity
Minority Interest,2017,366.0,Other
Long Term Borrowings,2017,71.0,Borrowings
Long Term Provisions,2017,39.0,Liabilities
Short Term Borrowings,2017,200.0,Borrowings
Trade Payables,2017,4905.0,Liabilities
Short Term Provisions,2017,66.0,Liabilities
Capital Work-In-Progress,2017,1541.0,Other
Long Term Loans And Advances,2017,9.0,Borrowings
Inventories,2017,21.0,Other
Trade Receivables,2017,22617.0,Assets
Cash And Cash Equivalents,2017,4149.0,Assets
Short Term Loans And Advances,2017,2909.0,Borrowings
Bonus Equity Share Capital,2017,155.9,Equity
Equity Share Capital,2016,197.0,Equity
Total Share Capital,2016,197.0,Equity
Reserves and Surplus,2016,70875.0,Equity
Total Reserves and Surplus,2016,70875.0,Equity
Minority Interest,2016,355.0,Other
Long Term Borrowings,2016,83.0,Borrowings
Long Term Provisions,2016,40.0,Liabilities
Short Term Borrowings,2016,113.0,Borrowings
Trade Payables,2016,7541.0,Liabilities
Short Term Provisions,2016,115.0,Liabilities
Capital Work-In-Progress,2016,1670.0,Other
Long Term Loans And Advances,2016,2472.0,Borrowings
Inventories,2016,16.0,Other
Trade Receivables,2016,24073.0,Assets
Cash And Cash Equivalents,2016,6788.0,Assets
Short Term Loans And Advances,2016,2743.0,Borrowings
Bonus Equity Share Capital,2016,155.9,Equity
Equity Share Capital,2015,195.87,Equity
Total Share Capital,2015,195.87,Equity
Reserves and Surplus,2015,50438.89,Equity
Total Reserves and Surplus,2015,50438.89,Equity
Minority Interest,2015,1127.76,Other
Long Term Borrowings,2015,114.27,Borrowings
Long Term Provisions,2015,297.87,Liabilities
Short Term Borrowings,2015,185.56,Borrowings
Trade Payables,2015,8830.93,Liabilities
Short Term Provisions,2015,7655.16,Liabilities
Capital Work-In-Progress,2015,2766.37,Other
